"","systematic_name","gene","treatment_id","sample_id","abundance_log2"
"276","YDR454C","GUK1","NC","NC.1_1",16.91813796
"277","YDR471W;YHR010W",NA,"NC","NC.1_1",20.20132075
"278","YDR472W","TRS31","NC","NC.1_1",14.68504763
"279","YDR477W","SNF1","NC","NC.1_1",15.33320743
"280","YDR483W","KRE2","NC","NC.1_1",15.55597108
"281","YDR487C","RIB3","NC","NC.1_1",16.40147544
"282","YDR496C","PUF6","NC","NC.1_1",15.59036101
"283","YDR500C","RPL37B","NC","NC.1_1",19.09570671
"284","YDR502C","SAM2","NC","NC.1_1",16.56797394
"285","YDR510W","SMT3","NC","NC.1_1",17.97159214
"286","YDR513W","GRX2","NC","NC.1_1",15.65929498
"287","YDR516C","EMI2","NC","NC.1_1",15.06234553
"288","YDR518W","EUG1","NC","NC.1_1",14.71834494
"289","YDR531W","CAB1","NC","NC.1_1",15.0423152
"290","YDR533C","HSP31","NC","NC.1_1",15.32713239
"291","YDR539W","FDC1","NC","NC.1_1",14.71872193
"292","YEL002C","WBP1","NC","NC.1_1",16.69048571
"293","YEL013W","VAC8","NC","NC.1_1",14.19347844
"294","YEL022W","GEA2","NC","NC.1_1",14.49916671
"295","YEL026W","SNU13","NC","NC.1_1",17.30046359
"296","YEL027W","VMA3","NC","NC.1_1",17.83450423
"297","YEL031W","SPF1","NC","NC.1_1",15.33617528
"298","YEL032W","MCM3","NC","NC.1_1",14.68370704
"299","YEL034W","HYP2","NC","NC.1_1",17.7956497
"300","YEL037C","RAD23","NC","NC.1_1",16.44045208
"301","YEL040W","UTR2","NC","NC.1_1",16.79447814
"302","YEL042W","GDA1","NC","NC.1_1",15.76391653
"303","YEL046C","GLY1","NC","NC.1_1",17.88253512
"304","YEL047C","FRD1","NC","NC.1_1",16.55340161
"305","YEL051W","VMA8","NC","NC.1_1",16.69365912
"306","YEL055C","POL5","NC","NC.1_1",14.73089434
"307","YEL058W","PCM1","NC","NC.1_1",15.32740572
"308","YEL060C","PRB1","NC","NC.1_1",16.81185208
"309","YEL071W","DLD3","NC","NC.1_1",17.19779823
"310","YER003C","PMI40","NC","NC.1_1",16.14708301
"311","YER004W","FMP52","NC","NC.1_1",15.28273169
"312","YER006W","NUG1","NC","NC.1_1",16.74975002
"313","YER007C-A","TMA20","NC","NC.1_1",17.13101964
"314","YER009W","NTF2","NC","NC.1_1",18.65751766
"315","YER012W","PRE1","NC","NC.1_1",16.69413542
"316","YER021W","RPN3","NC","NC.1_1",15.67872338
"317","YER023W","PRO3","NC","NC.1_1",17.8908413
"318","YER025W","GCD11","NC","NC.1_1",17.64661562
"319","YER031C","YPT31","NC","NC.1_1",16.28423417
"320","YER036C","ARB1","NC","NC.1_1",17.05820185
"321","YER043C","SAH1","NC","NC.1_1",19.70424097
"322","YER048C","CAJ1","NC","NC.1_1",15.78918024
"323","YER048W-A","ISD11","NC","NC.1_1",16.03449288
"324","YER049W","TPA1","NC","NC.1_1",15.75714241
"325","YER052C","HOM3","NC","NC.1_1",15.90658127
"326","YER055C","HIS1","NC","NC.1_1",16.51065649
"327","YER056C-A;YIL052C",NA,"NC","NC.1_1",19.06996006
"328","YER057C","HMF1","NC","NC.1_1",17.0308732
"329","YER062C","GPP2","NC","NC.1_1",16.70049115
"330","YER063W","THO1","NC","NC.1_1",16.82226526
"331","YER068W","MOT2","NC","NC.1_1",14.52920468
"332","YER069W","ARG5,6","NC","NC.1_1",14.46948482
"333","YER070W","RNR1","NC","NC.1_1",15.52121582
"334","YER073W","ALD5","NC","NC.1_1",17.12857306
"335","YER074W;YIL069C",NA,"NC","NC.1_1",19.49980235
"336","YER080W","AIM9","NC","NC.1_1",15.85419117
"337","YER081W","SER3","NC","NC.1_1",15.81684773
"338","YER082C","UTP7","NC","NC.1_1",14.91811002
"339","YER086W","ILV1","NC","NC.1_1",16.0608407
"340","YER089C","PTC2","NC","NC.1_1",16.11584093
"341","YER090W","TRP2","NC","NC.1_1",16.34217093
"342","YER091C","MET6","NC","NC.1_1",20.03414272
"343","YER094C","PUP3","NC","NC.1_1",16.39397471
"344","YER103W","SSA4","NC","NC.1_1",15.46848736
"345","YER110C","KAP123","NC","NC.1_1",17.69645778
"346","YER112W","LSM4","NC","NC.1_1",16.48926924
"347","YER120W","SCS2","NC","NC.1_1",17.69919376
"348","YER122C","GLO3","NC","NC.1_1",15.55110683
"349","YER125W","RSP5","NC","NC.1_1",15.1164762
"350","YER127W","LCP5","NC","NC.1_1",14.12873451
"351","YER133W","GLC7","NC","NC.1_1",15.93881436
"352","YER136W","GDI1","NC","NC.1_1",16.11284886
"353","YER151C","UBP3","NC","NC.1_1",14.95152155
"354","YER155C","BEM2","NC","NC.1_1",14.44289757
"355","YER156C","YER156C","NC","NC.1_1",16.20647531
"356","YER159C","BUR6","NC","NC.1_1",15.00019175
"357","YER164W","CHD1","NC","NC.1_1",14.1682656
"358","YER165W","PAB1","NC","NC.1_1",18.39451568
"359","YER177W","BMH1","NC","NC.1_1",19.15397949
"360","YER178W","PDA1","NC","NC.1_1",16.81144898
"361","YFL004W","VTC2","NC","NC.1_1",15.14770009
"362","YFL005W","SEC4","NC","NC.1_1",16.25904627
"363","YFL010C","WWM1","NC","NC.1_1",17.28630344
"364","YFL018C","LPD1","NC","NC.1_1",16.68610829
