systematic_name,gene,treatment_id,fc_log2,p_value,adj_p_value,regulated
YMR186W,HSC82,AF,-0.079985,0.767929239,0.900998024,FALSE
YMR189W,GCV2,AF,-0.073344167,0.613109515,0.816122835,FALSE
YMR194W,RPL36A,AF,-0.355251667,0.238927505,0.517153035,FALSE
YMR197C,VTI1,AF,0.0321525,0.923133408,0.972163097,FALSE
YMR202W,ERG2,AF,0.693580833,0.005447232,0.056173252,FALSE
YMR203W,TOM40,AF,-0.032831667,0.794804113,0.914805296,FALSE
YMR205C,PFK2,AF,0.084405,0.486506435,0.735113661,FALSE
YMR208W,ERG12,AF,-0.663083333,0.013363243,0.098778781,FALSE
YMR214W,SCJ1,AF,-0.167640833,0.151901521,0.405994939,FALSE
YMR215W,GAS3,AF,-0.17462,0.187917524,0.45625455,FALSE
YMR217W,GUA1,AF,0.100128333,0.400409573,0.669162737,FALSE
YMR220W,ERG8,AF,0.002415,0.992651863,0.997530601,FALSE
YMR226C,YMR226C,AF,-0.237479167,0.049526824,0.217393344,FALSE
YMR229C,RRP5,AF,0.147181667,0.28802409,0.567406381,FALSE
YMR235C,RNA1,AF,-0.016956667,0.87871495,0.954202796,FALSE
YMR241W,YHM2,AF,0.024016667,0.87687939,0.953181784,FALSE
YMR242C;YOR312C,NA,AF,0.0310075,0.869497051,0.949918321,FALSE
YMR246W,FAA4,AF,0.0497525,0.770898402,0.902512905,FALSE
YMR260C,TIF11,AF,-0.0578725,0.810095906,0.922607646,FALSE
YMR261C,TPS3,AF,-0.008134167,0.944631619,0.980598196,FALSE
YMR272C,SCS7,AF,0.1058675,0.607857068,0.812825722,FALSE
YMR290C,HAS1,AF,-0.0979825,0.531294077,0.765221041,FALSE
YMR296C,LCB1,AF,0.249199167,0.15490892,0.409935395,FALSE
YMR297W,PRC1,AF,0.134858333,0.622486474,0.822168763,FALSE
YMR300C,ADE4,AF,0.1983425,0.035266099,0.178924662,FALSE
YMR305C,SCW10,AF,0.539235833,0.033900026,0.174794526,FALSE
YMR307W,GAS1,AF,0.236290833,0.285339805,0.565014156,FALSE
YMR308C,PSE1,AF,0.3039175,0.037142837,0.184887451,FALSE
YMR309C,NIP1,AF,0.018459167,0.913861508,0.968674297,FALSE
YMR311C,GLC8,AF,-0.336288333,0.42853096,0.690749457,FALSE
YMR314W,PRE5,AF,-0.7030425,2.21E-04,0.006160909,FALSE
YMR315W,YMR315W,AF,-0.150910833,0.403866469,0.671987767,FALSE
YMR318C,ADH6,AF,-0.039540833,0.843312352,0.937938282,FALSE
YNL002C,RLP7,AF,-0.46232,0.029864564,0.161916309,FALSE
YNL004W,HRB1,AF,0.147241667,0.422410582,0.686680051,FALSE
YNL007C,SIS1,AF,0.072051667,0.59099492,0.802432665,FALSE
YNL010W,YNL010W,AF,0.163779167,0.479560344,0.729938813,FALSE
YNL014W,HEF3,AF,-1.284790833,0.03863498,0.189081785,FALSE
YNL016W,PUB1,AF,-0.011758333,0.970578115,0.990248914,FALSE
YNL037C,IDH1,AF,-0.035691667,0.783407422,0.909048235,FALSE
YNL044W,YIP3,AF,0.033931667,0.814811258,0.925323467,FALSE
YNL045W,LAP2,AF,0.060633333,0.671264965,0.850505648,FALSE
YNL055C,POR1,AF,0.2213725,0.448243456,0.704652518,FALSE
YNL061W,NOP2,AF,0.135138333,0.298920373,0.578676972,FALSE
YNL064C,YDJ1,AF,-0.020404167,0.921222614,0.971676036,FALSE
YNL067W,RPL9B,AF,-0.34969,0.149211099,0.402036477,FALSE
YNL069C,RPL16B,AF,-0.941521667,2.96E-05,0.001324697,FALSE
YNL071W,LAT1,AF,0.068866667,0.648427175,0.837361848,FALSE
YNL075W,IMP4,AF,0.182590833,0.404140528,0.672201284,FALSE
YNL079C,TPM1,AF,-0.748115,0.004059279,0.046088433,FALSE
YNL084C,END3,AF,-0.1930375,0.099456118,0.323627052,FALSE
YNL085W,MKT1,AF,0.004403333,0.982323687,0.994029563,FALSE
YNL088W,TOP2,AF,-0.080165,0.624566639,0.823198061,FALSE
YNL096C,RPS7B,AF,-0.7124675,0.04504402,0.205963362,FALSE
YNL098C,RAS2,AF,-0.040995833,0.763516345,0.898838402,FALSE
YNL104C,LEU4,AF,0.44404,0.00314206,0.038841541,FALSE
YNL108C,YNL108C,AF,0.1118375,0.573812308,0.791583346,FALSE
YNL112W,DBP2,AF,-0.120256667,0.289036149,0.568343177,FALSE
YNL113W,RPC19,AF,-0.598071667,0.043879189,0.20302722,FALSE
YNL118C,DCP2,AF,0.253758333,0.081215104,0.288907485,FALSE
YNL121C,TOM70,AF,2.50E-05,0.9998629,0.9998629,FALSE
YNL123W,NMA111,AF,0.096279167,0.403011737,0.671080013,FALSE
YNL131W,TOM22,AF,-0.42457,0.152281513,0.406627674,FALSE
YNL132W,KRE33,AF,0.17027,0.371877933,0.646246096,FALSE
YNL134C,YNL134C,AF,0.023495,0.895443486,0.961441633,FALSE
YNL135C,FPR1,AF,-0.970985833,0.018834097,0.123026762,FALSE
YNL138W,SRV2,AF,0.0680175,0.634637492,0.829322644,FALSE
YNL141W,AAH1,AF,0.106798333,0.510984721,0.752137549,FALSE
YNL154C,YCK2,AF,-0.1987025,0.386393279,0.65812127,FALSE
YNL160W,YGP1,AF,-0.761056667,6.93E-04,0.013885344,FALSE
YNL175C,NOP13,AF,0.0625025,0.688287295,0.860067767,FALSE
YNL178W,RPS3,AF,-0.089951667,0.666506373,0.847721121,FALSE
YNL182C,IPI3,AF,-0.021489167,0.860548505,0.945960534,FALSE
YNL189W,SRP1,AF,0.134169167,0.469733925,0.722281697,FALSE
YNL207W,RIO2,AF,0.1161,0.358633711,0.634552094,FALSE
YNL208W,YNL208W,AF,-1.31856,0.002068404,0.029290533,TRUE
YNL209W,SSB2,AF,0.005071667,0.973789146,0.991304885,FALSE
YNL216W,RAP1,AF,0.073918333,0.662644771,0.845753936,FALSE
